Ticker,Price,50 Day Average,200 Day Average
MMM,133.92,132.7602,106.28066
AOS,76.21,81.5182,83.1507
ABT,116.8,115.1968,110.6133
ABBV,201.2,194.3866,178.4551
ACN,356.13,352.8584,335.3089
ADBE,504.83,517.5894,525.3726
AMD,145.1,154.3194,162.4817
AES,14.2,17.6956,17.71565
AFL,108.56,110.386,93.4039
A,137.78,139.5976,138.53136
APD,306.73,300.1112,264.5367
ABNB,140.91,128.1802,143.56133
AKAM,104.71,101.033,101.82455
ALB,96.58,92.9258,106.88155
ARE,113.04,118.224,119.4763
ALGN,224.85,229.8986,262.467
ALLE,140.93,143.0682,130.71635
LNT,57.0,59.8564,53.28195
ALL,188.79,188.8486,171.7258
GOOGL,176.51,162.8542,162.2486
GOOG,178.33,164.2328,163.69405
MO,54.29,51.48,46.55945
AMZN,207.09,186.3248,181.26895
AMCR,10.2,11.0722,10.07265
AMTM,31.0,28.387812,28.387812
AEE,87.77,86.1008,76.6443
AEP,96.25,100.6254,90.88425
AXP,295.16,267.471,238.97894
AIG,77.02,75.1444,74.88155
AMT,197.47,227.0794,204.6914
AWK,133.58,142.3584,131.7611
AMP,567.43,480.112,435.413
AME,190.32,170.0692,171.29785
AMGN,321.79,323.8778,306.7205
APH,72.17,65.415,61.98985
ADI,226.25,226.7008,214.43996
ANSS,333.62,320.6368,326.1501
AON,381.28,354.02,318.55124
APA,24.73,25.2204,29.33915
AAPL,222.72,226.8564,202.5902
AMAT,187.52,190.981,203.44055
APTV,53.83,68.5882,74.08485
ACGL,101.7,109.6288,98.3313
ADM,53.26,58.4008,59.3005
ANET,423.12,379.7262,322.8064
AJG,290.68,288.428,263.10336
AIZ,206.37,194.6572,179.8025
T,22.32,21.606,18.74575
ATO,138.88,137.7446,123.0553
ADSK,302.33,273.9882,248.8284
ADP,305.18,282.8538,256.85504
AZO,3196.38,3114.8193,2999.618
AVB,224.93,225.615,201.35295
AVY,204.12,215.0912,216.1123
AXON,459.52,407.2072,328.7454
BKR,42.74,36.2514,33.65675
BALL,60.27,64.926,64.40815
BAC,45.41,40.6982,38.4967
BAX,36.11,37.4934,37.73385
BDX,240.06,237.4778,236.51675
BBY,89.4,96.7674,84.34415
TECH,75.83,74.0128,73.51955
BIIB,174.4,190.9512,212.6882
BLK,1029.82,947.1814,840.8013
BX,176.38,155.6424,134.05725
BK,78.2,72.5398,62.1767
BA,147.16,156.1116,177.53806
BKNG,5001.19,4199.039,3811.268
BWA,34.85,34.0748,33.55935
BSX,86.44,84.307,74.99785
BMY,55.28,51.6692,48.02955
AVGO,179.55,169.7082,148.67097
BR,219.46,213.8348,205.01985
BRO,110.81,104.4686,92.44035
BLDR,176.78,184.5416,175.6344
BG,85.76,94.7052,99.54455
BXP,80.95,81.1768,68.4142
CHRW,106.42,105.8114,88.0889
CDNS,296.75,268.6056,288.1226
CZR,40.47,41.2135,39.446823
CPT,117.44,121.6154,108.5917
CPB,46.24,48.8218,45.92025
COF,190.97,151.8598,142.66846
CAH,115.58,111.9146,105.69395
KMX,76.93,75.991,75.64255
CCL,24.23,19.1878,16.76415
CARR,75.38,76.9934,65.1254
CTLT,59.95,60.0086,57.51895
CAT,416.88,374.772,348.3356
CBOE,201.36,209.516,189.9025
CBRE,129.4,122.6076,100.7257
CDW,202.79,217.396,228.90715
CE,92.44,128.0196,142.98325
COR,245.38,231.5106,232.23254
CNC,62.56,70.381,73.1014
CNP,29.02,28.9234,28.66255
CF,83.08,83.5082,79.19955
CRL,214.2,193.3268,220.1072
SCHW,75.75,66.8794,68.82895
CHTR,408.02,335.1126,309.1422
CVX,157.72,147.3938,153.29185
CMG,57.69,57.3478,57.338943
CB,280.01,288.154,265.2598
CHD,103.21,103.0008,103.2252
CI,315.22,343.2854,340.87344
CINF,149.68,137.637,123.3899
CTAS,217.02,206.12865,179.62616
CSCO,57.87,52.9824,49.35695
C,69.03,62.15,60.80315
CFG,48.31,41.605,37.14335
CLX,162.7,161.841,147.68124
CME,221.17,221.3494,210.66196
CMS,67.86,69.8482,62.86305
KO,63.7,69.882,64.4642
CTSH,79.4,76.3154,73.14155
CL,90.22,101.4754,94.7266
CMCSA,45.14,41.0038,40.53295
CAG,28.9,30.7842,29.8093
COP,113.63,107.7708,114.3906
ED,98.96,103.4584,95.295
STZ,229.58,245.0882,251.19795
CEG,234.99,239.503,198.2642
COO,103.78,107.166,97.33008
CPRT,55.44,52.3146,53.0907
GLW,48.24,44.8414,38.1675
CPAY,348.97,323.9792,294.9829
CTVA,61.74,58.1142,55.1015
CSGP,74.87,76.059,81.1622
COST,899.25,891.8334,810.6601
CTRA,24.55,23.7574,25.80675
CRWD,320.0,287.1164,309.312
CCI,103.47,113.4074,106.0189
CSX,36.88,34.069,34.69305
CMI,356.01,321.065,290.64615
CVS,61.61,59.5746,64.02985
DHR,247.76,265.7042,256.65634
DRI,170.95,161.6948,156.75165
DVA,147.07,157.2866,140.4249
DAY,80.95,62.2876,60.4294
DECK,164.77,157.58963,152.43968
DE,405.71,402.089,386.1226
DELL,138.35,119.4012,118.8239
DAL,62.32,50.0774,46.5709
DVN,40.02,40.7154,45.492
DXCM,68.61,69.6862,104.4437
FANG,183.62,182.3288,189.30115
DLR,173.62,162.3278,149.8387
DFS,182.55,142.146,129.11635
DG,77.41,83.501,123.2905
DLTR,62.41,69.9596,107.2957
D,57.07,57.9664,52.14205
DPZ,441.95,418.9986,457.9238
DOV,202.56,188.3504,178.4973
DOW,48.35,52.0354,54.71305
DHI,166.71,185.3738,161.40186
DTE,121.57,125.7062,115.5975
DUK,113.63,115.8608,104.3682
DD,84.33,84.2188,77.9779
EMN,103.68,105.806,97.9998
ETN,359.18,325.6658,310.761
EBAY,61.08,63.0944,54.2102
ECL,244.71,252.3808,235.1295
EIX,81.17,85.1314,75.76465
EW,65.75,67.7284,80.34175
EA,157.96,145.2972,139.1895
ELV,428.93,494.1962,514.70544
EMR,126.86,107.4644,108.43885
